Химки
Время 		Угл места 
52482.9		0.44755
52483.9		0.450229
52484.9		0.452918
52485.9		0.455615
52486.9		0.458321
52487.9		0.461035
52488.9		0.463757
52489.9		0.466488
52490.9		0.469226
52491.9		0.471973
52492.9		0.474727
52493.9		0.477489
52494.9		0.480258
52495.9		0.483034
52496.9		0.485817
52497.9		0.488606
52498.9		0.491402
52499.9		0.494205
52500.9		0.497013
52501.9		0.499828
52502.9		0.502647
52503.9		0.505472
52504.9		0.508302
52505.9		0.511137
52506.9		0.513976
52507.9		0.516819
52508.9		0.519666
52509.9		0.522516
52510.9		0.525369
52511.9		0.528225
52512.9		0.531083
52513.9		0.533944
52514.9		0.536805
52515.9		0.539668
52516.9		0.542532
52517.9		0.545396
52518.9		0.54826
52519.9		0.551123
52520.9		0.553986
52521.9		0.556846
52522.9		0.559705
52523.9		0.562561
52524.9		0.565414
52525.9		0.568263
52526.9		0.571108
52527.9		0.573949
52528.9		0.576784
52529.9		0.579612
52530.9		0.582435
52531.9		0.58525
52532.9		0.588057
52533.9		0.590856
52534.9		0.593645
52535.9		0.596425
52536.9		0.599194
52537.9		0.601951
52538.9		0.604697
52539.9		0.60743
52540.9		0.610149
52541.9		0.612853
52542.9		0.615543
52543.9		0.618216
52544.9		0.620873
52545.9		0.623512
52546.9		0.626133
52547.9		0.628734
52548.9		0.631315
52549.9		0.633874
52550.9		0.636412
52551.9		0.638927
52552.9		0.641418
52553.9		0.643884
52554.9		0.646324
52555.9		0.648738
52556.9		0.651124
52557.9		0.653482
52558.9		0.65581
52559.9		0.658107
52560.9		0.660373
52561.9		0.662607
52562.9		0.664807
52563.9		0.666972
52564.9		0.669102
52565.9		0.671196
52566.9		0.673252
52567.9		0.67527
52568.9		0.677248
52569.9		0.679186
52570.9		0.681083
52571.9		0.682937
52572.9		0.684748
52573.9		0.686515
52574.9		0.688236
52575.9		0.689912
52576.9		0.691541
52577.9		0.693121
52578.9		0.694653
52579.9		0.696136
52580.9		0.697567
52581.9		0.698948
52582.9		0.700277
52583.9		0.701552
52584.9		0.702774
52585.9		0.703942
